iter	RMSE
0	5.326365208
1	5.242989566
2	5.167440107
3	5.093895904
4	5.027737636
5	4.963518896
6	4.905564456
7	4.853226684
8	4.803816753
9	4.756360275
10	4.713706954
11	4.674554154
12	4.638665178
13	4.603930259
14	4.567870013
15	4.536212393
16	4.509805743
17	4.483908428
18	4.457871807
19	4.432684885
20	4.411140662
21	4.391943418
22	4.374669919
23	4.354192167
24	4.337619118
25	4.323892124
26	4.310353738
27	4.296848018
28	4.285824324
29	4.274694993
30	4.263961481
31	4.254735293
32	4.245833069
33	4.238824525
34	4.231389395
35	4.224913499
36	4.21928658
37	4.213796535
38	4.208232998
39	4.203195406
40	4.198659979
41	4.193589864
42	4.190178355
43	4.185908733
44	4.181347428
45	4.178160826
46	4.17491742
47	4.171212057
48	4.167747535
49	4.164180466
50	4.160995898
51	4.158445299
52	4.156485599
53	4.154933249
54	4.153609123
55	4.151770777
56	4.149490939
57	4.147655096
58	4.146115462
59	4.145144191
60	4.143633974
61	4.142408956
62	4.14107724
63	4.14013041
64	4.13921777
65	4.138182095
66	4.137443085
67	4.136305575
68	4.135346819
69	4.134544946
70	4.134093508
71	4.133133441
72	4.132420828
73	4.1312399
74	4.130733848
75	4.130156148
76	4.129427516
77	4.128703445
78	4.127138774
79	4.126717292
80	4.126296763
81	4.125900224
82	4.125177993
83	4.124372014
84	4.123334944
85	4.122911101
86	4.122503591
87	4.122234828
88	4.121888575
89	4.120923378
90	4.120394029
91	4.119994141
92	4.119786658
93	4.119458489
94	4.119024423
95	4.118682162
96	4.118247401
97	4.11747744
98	4.116792463
99	4.116691717
100	4.115872018
101	4.115728142
102	4.115162589
103	4.114692366
104	4.114580933
105	4.114336372
106	4.113686268
107	4.113077116
108	4.112679297
109	4.111696915
110	4.111538002
111	4.111262351
112	4.110991521
113	4.110457561
114	4.109738628
115	4.109038625
116	4.108817753
117	4.108407945
118	4.108144298
119	4.107904146
120	4.107777678
121	4.107284382
122	4.107033494
123	4.106901287
124	4.106536325
125	4.106293045
126	4.106139183
127	4.106016916
128	4.105909683
129	4.10567948
130	4.105540645
131	4.105300641
132	4.105101041
133	4.104988421
134	4.104892082
135	4.104387793
136	4.103958507
137	4.103610968
138	4.102851091
139	4.102522839
140	4.102050417
141	4.101880868
142	4.101035831
143	4.100793707
144	4.100656554
145	4.100528354
146	4.100299273
147	4.100208576
148	4.100129263
149	4.099962757
150	4.099841902
151	4.099668805
152	4.099165782
153	4.098734995
154	4.098564432
155	4.098291981
156	4.097686606
157	4.097328969
158	4.09664032
159	4.096463821
160	4.09614129
161	4.095805941
162	4.095542861
