iter	Passed	Remaining
0	134	134761
1	136	67943
2	137	45658
3	138	34543
4	139	27801
5	140	23290
6	141	20069
7	142	17655
8	143	15780
9	144	14307
10	145	13076
11	146	12049
12	147	11162
13	147	10416
14	148	9771
15	149	9212
16	150	8719
17	151	8274
18	152	7876
19	153	7518
20	154	7194
21	155	6901
22	156	6635
23	157	6390
24	158	6164
25	158	5954
26	159	5760
27	160	5579
28	161	5413
29	162	5256
30	163	5109
31	164	4971
32	165	4841
33	166	4719
34	167	4604
35	167	4495
36	169	4400
37	170	4308
38	171	4218
39	172	4136
40	173	4058
41	174	3977
42	175	3901
43	176	3828
44	177	3760
45	178	3700
46	179	3635
47	180	3574
48	181	3516
49	182	3462
50	183	3408
51	184	3357
52	185	3308
53	186	3261
54	187	3213
55	187	3168
56	188	3126
57	190	3086
58	191	3047
59	192	3008
60	192	2969
61	193	2932
62	194	2898
63	195	2864
64	196	2830
65	197	2798
66	198	2767
67	199	2737
68	200	2708
69	201	2680
70	202	2653
71	203	2625
72	204	2600
73	205	2574
74	206	2550
75	207	2526
76	208	2502
77	209	2478
78	210	2455
79	211	2432
80	212	2409
81	213	2388
82	214	2370
83	215	2349
84	216	2329
85	217	2309
86	218	2289
87	219	2270
88	219	2251
89	221	2234
90	222	2219
91	223	2202
92	224	2185
93	224	2168
94	225	2151
95	226	2135
96	227	2120
97	228	2105
98	229	2090
99	230	2076
100	231	2061
101	232	2042
102	233	2029
103	234	2016
104	235	2004
105	236	1992
106	237	1980
107	238	1968
108	239	1955
109	240	1943
110	241	1931
111	242	1920
112	243	1908
113	244	1897
114	245	1886
115	246	1875
116	247	1865
117	248	1854
118	249	1844
119	250	1834
120	251	1824
121	252	1813
122	253	1803
123	253	1794
124	254	1784
125	255	1775
126	257	1766
127	258	1758
128	259	1749
129	260	1741
130	261	1732
131	262	1723
132	263	1715
133	264	1706
134	264	1697
135	266	1690
136	267	1682
137	268	1674
138	268	1666
139	269	1657
140	270	1649
141	271	1641
142	272	1633
143	273	1625
144	274	1617
145	275	1610
146	276	1603
147	277	1596
148	278	1590
149	279	1583
150	280	1575
151	281	1568
152	282	1562
153	283	1555
154	284	1549
155	285	1544
156	286	1538
157	287	1533
158	288	1527
159	289	1521
160	290	1516
161	291	1510
162	292	1504
163	294	1499
164	295	1493
165	296	1487
166	297	1481
167	298	1475
168	299	1470
169	299	1464
170	301	1459
171	302	1454
172	303	1449
173	304	1443
174	305	1438
175	306	1433
176	307	1428
177	308	1424
178	309	1420
179	311	1418
180	312	1415
181	313	1411
182	315	1406
183	316	1402
184	317	1397
185	318	1393
186	319	1389
187	320	1385
188	321	1380
189	322	1376
190	324	1372
191	325	1368
192	326	1364
193	327	1359
194	328	1355
195	329	1350
196	330	1346
197	331	1343
198	332	1339
199	333	1335
200	334	1330
201	335	1326
202	336	1322
203	337	1317
204	338	1313
205	339	1309
206	340	1305
207	341	1301
208	342	1297
209	343	1293
210	344	1289
211	345	1285
212	346	1281
213	347	1277
214	348	1273
215	349	1269
216	350	1266
217	352	1263
218	353	1259
219	354	1255
220	355	1251
221	356	1247
222	357	1244
223	358	1240
224	359	1236
225	360	1233
226	360	1228
227	361	1224
228	362	1220
229	363	1217
230	364	1213
231	365	1210
232	366	1206
233	367	1202
234	368	1199
235	369	1195
236	370	1192
237	371	1188
238	372	1184
239	373	1181
240	373	1177
241	374	1174
242	375	1170
243	376	1167
244	377	1164
245	378	1160
246	379	1157
247	380	1153
248	381	1150
249	382	1146
250	383	1143
251	384	1140
252	385	1137
253	386	1133
254	387	1130
255	387	1127
256	388	1124
257	389	1121
258	390	1118
259	391	1114
260	392	1111
261	393	1108
262	394	1105
263	395	1102
264	396	1099
265	397	1096
266	398	1093
267	399	1090
268	400	1087
269	401	1084
270	402	1081
271	403	1078
272	404	1076
273	405	1073
274	406	1071
275	407	1068
276	408	1065
277	409	1062
278	410	1059
279	411	1056
280	411	1054
281	412	1051
282	413	1048
283	414	1045
284	415	1043
285	416	1040
286	417	1037
287	418	1035
288	419	1032
289	420	1029
290	421	1026
291	422	1024
292	423	1021
293	424	1018
294	425	1016
295	426	1013
296	427	1011
297	428	1009
298	429	1006
299	430	1004
300	431	1001
301	432	998
302	433	996
303	434	993
304	435	991
305	436	988
306	437	986
307	437	983
308	438	981
309	439	978
310	440	976
311	441	974
312	442	971
313	443	969
314	444	966
315	445	964
316	446	961
317	447	959
318	448	957
319	449	954
320	450	952
321	451	949
322	452	947
323	452	945
324	453	942
325	455	940
326	456	938
327	457	936
328	458	934
329	459	932
330	460	930
331	461	927
332	462	925
333	463	923
334	464	921
335	465	919
336	466	916
337	467	914
338	467	912
339	468	910
340	469	908
341	470	906
342	471	903
343	472	901
344	474	899
345	475	897
346	476	896
347	477	893
348	478	891
349	478	889
350	479	887
351	480	885
352	481	882
353	482	880
